timestamp,difference
2022-06-28,-296.6200000000026
2022-06-29,-456.0799999999981
2022-06-30,-163.6800000000003
2022-07-01,-298.6100000000006
2022-07-02,-520.0200000000004
2022-07-03,-56.54000000000087
2022-07-04,64.47000000000116
2022-07-05,921.6500000000015
2022-07-06,-38.02000000000044
2022-07-07,383.25
2022-07-08,1085.5400000000009
2022-07-09,-61.31000000000131
2022-07-10,-16.92000000000189
2022-07-11,-762.5599999999977
2022-07-12,-852.1900000000023
2022-07-13,-640.6699999999983
2022-07-14,891.9599999999991
2022-07-15,380.83000000000175
2022-07-16,242.0
2022-07-17,357.8299999999981
2022-07-18,-427.5799999999981
2022-07-19,1607.0200000000004
2022-07-20,1030.4099999999999
2022-07-21,-175.8199999999997
2022-07-22,-95.46000000000276
2022-07-23,-434.66999999999825
