,created,sentiment_score
9015,1655645691,3.0
9016,1655645839,7.0
9017,1655645923,2.0
9018,1655646060,0.0
9019,1655647328,4.0
9020,1655647704,1.0
9021,1655647875,0.0
9022,1655648180,3.0
9023,1655648280,-3.0
9024,1655650536,3.0
9025,1655650722,5.0
9026,1655650902,1.0
9027,1655651050,0.0
9028,1655651219,2.0
9029,1655651258,16.0
9030,1655652244,-3.0
9031,1655652570,-2.0
9032,1655658188,1.0
9033,1655658403,12.0
9034,1655659396,4.0
9035,1655659709,1.0
9036,1655659985,-4.0
9037,1655660723,0.0
9038,1655662259,2.0
9039,1655662717,9.0
9040,1655664007,13.0
9041,1655664284,3.0
9042,1655664353,1.0
9043,1655664680,-3.0
9044,1655665358,5.0
9045,1655666190,2.0
9046,1655667289,0.0
9047,1655667388,0.0
9048,1655667433,3.0
9049,1655668450,1.0
9050,1655669268,10.0
9051,1655669430,5.0
9052,1655672127,1.0
9053,1655672700,1.0
9054,1655672852,-7.0
9055,1655675094,-6.0
9056,1655676560,3.0
9057,1655677100,1.0
9058,1655678180,0.0
9059,1655678792,13.0
9060,1655679593,1.0
9061,1655681449,6.0
9062,1655684805,8.0
9063,1655685492,-7.0
9064,1655685989,1.0
9065,1655691243,4.0
9066,1655694025,12.0
9067,1655699840,-3.0
9068,1655699892,11.0
9069,1655701692,3.0
9070,1655703839,3.0
9071,1655704904,5.0
9072,1655705531,4.0
9073,1655706973,3.0
9074,1655707875,9.0
9075,1655708048,5.0
9076,1655708168,0.0
9077,1655713279,-3.0
9078,1655716546,11.0
9079,1655718580,1.0
9080,1655718797,-1.0
9081,1655719553,4.0
9082,1655720858,-2.0
9083,1655722535,-10.0
9084,1655724253,2.0
9085,1655727023,0.0
9086,1655727897,1.0
9087,1655728691,13.0
9088,1655729492,8.0
9089,1655730835,3.0
9090,1655731142,10.0
9091,1655732979,4.0
9092,1655733306,4.0
9093,1655736035,1.0
9094,1655736434,1.0
9095,1655740627,2.0
9096,1655741383,-2.0
9097,1655743075,6.0
9098,1655743908,3.0
9099,1655744126,-2.0
9100,1655745970,-1.0
9101,1655746655,0.0
9102,1655747227,12.0
9103,1655747687,3.0
9104,1655747957,-2.0
9105,1655748883,-6.0
9106,1655749980,4.0
9107,1655752555,4.0
9108,1655753337,3.0
9109,1655754292,3.0
9110,1655755456,4.0
9111,1655761092,5.0
9112,1655761859,1.0
9113,1655763916,2.0
9114,1655765000,3.0
9115,1655765664,3.0
9116,1655776686,1.0
9117,1655778454,11.0
9118,1655778471,4.0
9119,1655782371,2.0
9120,1655782829,0.0
9121,1655784522,13.0
9122,1655785261,2.0
9123,1655785516,-1.0
9124,1655788188,3.0
9125,1655788717,18.0
9126,1655788943,2.0
9127,1655789117,2.0
9128,1655789955,8.0
9129,1655790167,2.0
9130,1655800196,-1.0
9131,1655801726,5.0
9132,1655804473,2.0
9133,1655805701,-2.0
9134,1655805903,-4.0
9135,1655806130,-2.0
9136,1655807778,-8.0
9137,1655809686,7.0
9138,1655811136,9.0
9139,1655811171,12.0
9140,1655812040,-3.0
9141,1655813307,24.0
9142,1655814955,2.0
9143,1655822635,7.0
9144,1655822814,-4.0
9145,1655823444,4.0
9146,1655825928,9.0
9147,1655830436,-6.0
9148,1655833069,2.0
9149,1655834662,4.0
9150,1655835715,-2.0
9151,1655837259,5.0
9152,1655839018,4.0
9153,1655839213,1.0
9154,1655840918,-1.0
9155,1655843499,2.0
9156,1655843902,5.0
9157,1655844121,3.0
9158,1655844718,1.0
9159,1655845306,0.0
9160,1655847005,-3.0
9161,1655847419,5.0
9162,1655847448,32.0
9163,1655850519,3.0
9164,1655850934,2.0
9165,1655852273,-1.0
9166,1655853238,0.0
9167,1655853245,0.0
9168,1655856201,0.0
9169,1655856715,0.0
9170,1655857240,2.0
9171,1655857421,-5.0
9172,1655857472,0.0
9173,1655857856,18.0
9174,1655858441,7.0
9175,1655859621,-2.0
9176,1655860530,7.0
9177,1655863149,-4.0
9178,1655864529,1.0
9179,1655865239,-1.0
9180,1655866187,1.0
9181,1655869396,-2.0
9182,1655871560,22.0
9183,1655872078,-1.0
9184,1655873020,6.0
